DATE,Site Name,Site #,Duplicate site? (Y/N),JD,CJD,MO,DAY,YR,TIME,Q (cfs),Staff gage (ft),TEMP (?C),COND (microS/cm),DO (mg/L),PH,PSAT (%),TP (microg/L),PO4 (microg/L),NH4 (microg/L),NO2 (microg/L),NO3+NO2 (microg/L),TN (microg/L),SiO2 (microg/L),TSS (mg/L),Turbidity (NTU),Notes
04/02/02,Sprague R @ Kirchers Bridge,WR1000,NA,92,457,4,2,2002,NA,NA,NA,NA,NA,NA,NA,NA,82,43,42,NA,14,404,NA,NA,NA,NA
04/17/02,Sprague R @ Kirchers Bridge,WR1000,NA,107,472,4,17,2002,NA,NA,NA,NA,NA,NA,NA,NA,100,40,26,NA,26,557,NA,NA,NA,NA
05/01/02,Sprague R @ Kirchers Bridge,WR1000,NA,121,486,5,1,2002,NA,NA,NA,NA,NA,NA,NA,NA,56.5,32,21.5,NA,7.5,358.5,NA,NA,NA,NA
05/29/02,Sprague R @ Kirchers Bridge,WR1000,NA,149,514,5,29,2002,NA,NA,NA,NA,NA,NA,NA,NA,55,35,31,NA,5,269,NA,NA,NA,NA
06/19/02,Sprague R @ Kirchers Bridge,WR1000,NA,170,535,6,19,2002,NA,NA,NA,NA,NA,NA,NA,NA,61,38,43,NA,12,285,NA,NA,NA,NA
07/02/02,Sprague R @ Kirchers Bridge,WR1000,NA,183,548,7,2,2002,NA,NA,NA,NA,NA,NA,NA,NA,65,40,10,NA,10,308,NA,NA,NA,NA
07/17/02,Sprague R @ Kirchers Bridge,WR1000,NA,198,563,7,17,2002,NA,NA,NA,NA,NA,NA,NA,NA,64,38,27,NA,5,408,NA,NA,NA,NA
07/31/02,Sprague R @ Kirchers Bridge,WR1000,NA,212,577,7,31,2002,NA,NA,NA,NA,NA,NA,NA,NA,49,30,25,NA,12,341,NA,NA,NA,NA
08/21/02,Sprague R @ Kirchers Bridge,WR1000,NA,233,598,8,21,2002,NA,NA,NA,NA,NA,NA,NA,NA,49,31,5,NA,5,259,NA,NA,NA,NA
09/05/02,Sprague R @ Kirchers Bridge,WR1000,NA,248,613,9,5,2002,NA,NA,NA,NA,NA,NA,NA,NA,46,33,5,NA,5,311,NA,NA,NA,NA
09/17/02,Sprague R @ Kirchers Bridge,WR1000,NA,260,625,9,17,2002,NA,NA,NA,NA,NA,NA,NA,NA,47,34,26,NA,5,311,NA,NA,NA,NA
10/30/02,Sprague R @ Kirchers Bridge,WR1000,NA,303,668,10,30,2002,NA,NA,NA,NA,NA,NA,NA,NA,48,33,23,NA,5,187,NA,NA,NA,NA
11/20/02,Sprague R @ Kirchers Bridge,WR1000,NA,324,689,11,20,2002,NA,NA,NA,NA,NA,NA,NA,NA,56,37.5,8,NA,5,158,NA,NA,NA,NA
12/10/02,Sprague R @ Kirchers Bridge,WR1000,NA,344,709,12,10,2002,NA,NA,NA,NA,NA,NA,NA,NA,50,36,5,NA,5,130,NA,NA,NA,NA
01/07/03,Sprague R @ Kirchers Bridge,WR1000,NA,7,737,1,7,2003,NA,NA,NA,NA,NA,NA,NA,NA,73.5,52.5,10,NA,26,307,NA,NA,NA,NA
01/23/03,Sprague R @ Kirchers Bridge,WR1000,NA,23,753,1,23,2003,NA,NA,NA,NA,NA,NA,NA,NA,74.5,45.5,15.5,NA,25,371.5,NA,NA,NA,NA
02/03/03,Sprague R @ Kirchers Bridge,WR1000,NA,34,764,2,3,2003,NA,NA,NA,NA,NA,NA,NA,NA,83,44,27,NA,42,523,NA,NA,NA,NA
02/20/03,Sprague R @ Kirchers Bridge,WR1000,NA,51,781,2,20,2003,NA,NA,NA,NA,NA,NA,NA,NA,81,54,20,NA,14,515,NA,NA,NA,NA
03/05/03,Sprague R @ Kirchers Bridge,WR1000,NA,64,794,3,5,2003,NA,NA,NA,NA,NA,NA,NA,NA,55,38,11,NA,10,118,NA,NA,NA,NA
